mz	rtime	id_number
169.0951	261.56	F2016
140.0021	296.28	F2017
169.1016	21.57	F2018
169.1054	19.69	F2022
169.1054	72.69	F2024
169.1054	137	F2025
140.0344	50.1	F2026
140.0344	100.68	F2027
140.0344	232.71	F2028
140.0377	147.11	F2029
140.0377	156.99	F2030
140.0429	186.53	F2031
169.109	24.21	F2032
140.0447	12.48	F2034
140.0447	161.56	F2036
169.1166	74.99	F2037
140.0456	8.25	F2038
140.0456	48.56	F2039
140.0456	161.93	F2040
140.0537	73.08	F2042
140.0537	100.31	F2043
140.0537	142.09	F2044
140.0593	133.16	F2046
140.0617	133.54	F2047
140.0684	160.82	F2048
140.0684	166.06	F2049
140.0731	20.07	F2050
169.1534	126.18	F2053
169.1534	142.09	F2054
140.0934	24.21	F2055
169.9778	43.57	F2061
169.9778	255.43	F2062
169.9864	167.54	F2066
140.1184	155.84	F2067
